household_id,household_size,num_adults,num_children,home_ownership,house_type,income_bracket,square_footage,num_bedrooms,num_bathrooms,house_age_years,insulation_quality,num_floors,has_basement,heating_type,cooling_type,thermostat_setting_winter,thermostat_setting_summer,climate_zone,num_refrigerators,has_dishwasher,has_washer_dryer,has_electric_water_heater,has_pool,has_spa_hot_tub,num_tvs,num_computers,has_smart_thermostat,has_led_lighting,has_energy_star_appliances,has_solar_panels,energy_audit_done,avg_daily_hours_home,works_from_home,electric_vehicle_count,peak_usage_time,monthly_kwh_consumption,high_consumption
HH_00000001,5,5,0,Rent,Single Family,$40k-$75k,2755.0,5,3.5,8,Fair,2,Yes,Electric,Central AC,68.0,76,Mixed,1,No,Yes,No,No,No,3,2,No,Yes,Yes,No,Yes,18.0,No,0,Evening,3859.0,Yes
HH_00000002,4,3,1,Own,Single Family,$75k-$120k,2787.0,5,4.5,81,Good,1,No,Electric,Window Units,74.0,77,Hot,1,No,Yes,No,No,No,5,4,Yes,Yes,Yes,No,Yes,10.0,No,1,Evening,4213.0,Yes
HH_00000003,2,2,0,Rent,Single Family,<$40k,1099.0,2,2.4,62,Excellent,2,No,Electric,Central AC,66.0,72,Hot,1,No,Yes,No,No,No,3,1,No,No,Yes,No,No,15.0,No,0,Morning,2822.0,No
HH_00000004,1,1,0,Own,Single Family,$120k+,1298.0,1,1.0,1,Poor,2,Yes,Gas,Central AC,64.0,72,Mixed,2,Yes,Yes,No,No,No,2,7,No,Yes,Yes,No,No,6.0,No,1,Afternoon,2077.0,No
HH_00000005,2,1,1,Rent,Apartment,$75k-$120k,1109.0,3,3.0999999999999996,2,Poor,2,No,Heat Pump,Central AC,67.0,76,Moderate,1,Yes,Yes,No,No,No,3,3,Yes,Yes,Yes,No,Yes,13.0,No,0,Morning,1888.0,No
HH_00000006,1,1,0,Own,Townhouse,$40k-$75k,1344.0,2,1.4,19,Good,2,No,Gas,Window Units,68.0,74,Mixed,2,Yes,Yes,Yes,No,No,4,0,No,Yes,Yes,No,No,12.0,No,0,Morning,1652.0,No
HH_00000007,2,2,0,Own,Single Family,<$40k,1605.0,3,2.0999999999999996,42,Fair,1,Yes,Electric,Central AC,73.0,75,Hot,2,Yes,Yes,Yes,No,No,3,4,Yes,No,Yes,No,No,15.0,No,2,Night,3953.0,Yes
HH_00000008,2,2,0,Own,Single Family,<$40k,1774.0,1,1.7,1,Fair,1,Yes,Oil,Central AC,76.0,73,Hot,1,Yes,Yes,Yes,No,No,5,2,No,Yes,Yes,No,No,20.0,No,0,Evening,2810.0,No
HH_00000009,4,3,1,Own,Single Family,$75k-$120k,2168.0,4,3.8,42,Good,2,No,Electric,Window Units,73.0,72,Hot,3,Yes,Yes,Yes,No,Yes,1,1,No,No,No,No,Yes,4.0,Yes,0,Evening,3945.0,Yes
HH_00000010,2,1,1,Own,Townhouse,$75k-$120k,1164.0,2,2.4,4,Fair,1,No,Gas,Central AC,74.0,77,Cold,1,Yes,No,Yes,No,No,4,1,Yes,No,No,No,No,14.0,No,2,Afternoon,3152.0,Yes
HH_00000011,3,3,0,Rent,Townhouse,<$40k,1625.0,3,2.0999999999999996,13,Fair,1,No,Electric,Central AC,67.0,82,Mixed,1,Yes,Yes,Yes,No,No,1,5,No,Yes,No,No,No,12.0,No,0,Afternoon,3071.0,Yes
HH_00000012,4,3,1,Own,Single Family,$40k-$75k,2777.0,4,3.8,44,Excellent,2,Yes,Electric,Heat Pump,68.0,75,Mixed,1,Yes,Yes,No,No,No,3,3,Yes,No,Yes,No,No,12.0,Yes,1,Evening,3858.0,Yes
HH_00000013,2,2,0,Own,Single Family,$75k-$120k,1196.0,3,2.0999999999999996,23,Good,1,No,Other,Window Units,71.0,68,Mixed,3,No,Yes,No,No,No,5,6,No,No,No,No,No,16.0,No,0,Morning,1555.0,No
HH_00000014,4,4,0,Own,Single Family,$40k-$75k,2436.0,3,2.0999999999999996,18,Good,2,No,Gas,None,70.0,75,Hot,1,Yes,Yes,No,No,No,1,5,No,No,No,No,No,17.0,No,0,Night,3043.0,Yes
HH_00000015,3,1,2,Rent,Single Family,$40k-$75k,2331.0,4,2.8,8,Good,2,No,Gas,Central AC,71.0,78,Moderate,1,Yes,Yes,Yes,No,No,4,3,Yes,Yes,Yes,No,No,4.0,No,2,Night,3081.0,Yes
HH_00000016,5,4,1,Own,Townhouse,$75k-$120k,2825.0,4,2.8,13,Fair,2,Yes,Gas,Window Units,66.0,71,Cold,1,Yes,Yes,No,No,No,2,5,No,Yes,Yes,No,No,12.0,Yes,0,Afternoon,3556.0,Yes
HH_00000017,4,4,0,Own,Apartment,$40k-$75k,2318.0,5,3.5,1,Excellent,2,No,Gas,Heat Pump,72.0,75,Cold,1,Yes,Yes,No,No,No,2,3,No,Yes,No,No,No,15.0,No,0,Evening,2958.0,No
HH_00000018,5,5,0,Rent,Single Family,$75k-$120k,2727.0,4,3.8,26,Good,2,No,Gas,Central AC,68.0,74,Hot,1,No,Yes,Yes,No,No,2,4,No,Yes,No,No,No,17.0,No,0,Morning,4170.0,Yes
HH_00000019,1,1,0,Own,Condo,$75k-$120k,1462.0,1,1.7,16,Fair,2,No,Electric,Heat Pump,70.0,73,Cold,2,Yes,Yes,No,No,No,1,1,Yes,No,No,No,No,17.0,Yes,0,Afternoon,2404.0,No
HH_00000020,2,2,0,Own,Apartment,$75k-$120k,1851.0,3,2.0999999999999996,80,Excellent,1,Yes,Electric,Window Units,68.0,71,Hot,1,Yes,No,Yes,No,No,1,1,Yes,No,Yes,No,No,11.0,No,1,Morning,3462.0,Yes
HH_00000021,3,3,0,Own,Single Family,$75k-$120k,2018.0,3,3.0999999999999996,11,Poor,1,Yes,Gas,Central AC,68.0,70,Moderate,1,Yes,Yes,Yes,No,No,1,4,No,No,Yes,No,No,10.0,No,0,Evening,3151.0,Yes
HH_00000022,4,4,0,Own,Single Family,$75k-$120k,1994.0,4,2.8,23,Good,2,Yes,Heat Pump,Central AC,69.0,76,Hot,1,Yes,Yes,Yes,No,No,4,3,Yes,Yes,No,No,No,,No,0,Night,3377.0,Yes
HH_00000023,2,2,0,Own,Single Family,$75k-$120k,1133.0,3,2.0999999999999996,9,Fair,1,No,Gas,Window Units,68.0,73,Moderate,1,Yes,No,Yes,No,No,5,1,No,Yes,Yes,No,No,16.0,No,0,Morning,1964.0,No
HH_00000024,2,1,1,Own,Apartment,<$40k,1330.0,3,3.0999999999999996,14,Good,2,Yes,Gas,Central AC,65.0,74,Mixed,2,No,Yes,Yes,No,No,3,2,No,Yes,No,No,Yes,8.0,No,0,Evening,2050.0,No
